id;operation_log_code;operator_id;operator_name;operation_time;interface_name
1;compress;83682;Innovative;2020-12-21T07:21:58;Analyst Customer
2;lavender Tactics enable;66046;productivity synthesize card;2020-12-21T22:54:32;protocol Cook Islands Saint Helena Pound
3;Architect Ramp;46186;neural International;2020-12-21T15:05:05;Licensed Fresh Towels
4;Soap;78049;Games Administrator;2020-12-21T04:20:56;Profit-focused
5;Gorgeous leverage;88910;withdrawal Optional;2020-12-21T03:41:20;Senior Computer Mountains
6;Integration Borders;90425;Extended Personal Loan Account;2020-12-21T04:48:50;Analyst Health Assistant
7;compressing Unbranded;17541;Yuan Renminbi Drive;2020-12-21T11:57:48;Creative data-warehouse
8;Inverse Hat Tasty;39292;Right-sized Assimilated;2020-12-21T20:40:23;Central African Republic cohesive Practical
9;reboot Granite redundant;39335;bifurcated;2020-12-22T01:06:00;user-facing Rustic Fresh Ball
10;Direct compress;31377;RSS Internal;2020-12-21T06:52:50;Fantastic Fresh Keyboard
